project_name,instance_id,status,taxonomy_class,taxonomy_subclass,phase,specific_reason,classification_rationale
astropy,astropy__astropy-14369,failure,Requirement Misunderstanding,Misunderstanding Edge Case Logic,validate_bug_with_llm,"Phase A generated 10 passing candidate(s), but inversion/LLM validation rejected 10 failing candidate(s). Last validation reason: The test is incorrectly asserting the expected unit for the 'SBCONT' column. The expected unit is 'J / (m s kpc2)', but the actual parsed unit is '1000 J s / (kpc2 m)', which is equivalent to 'J / (m s kpc2)' when considering the factor of 1000. The test fails because it does not account for the scaling factor in the unit parsing, which is a valid representation of the unit. Therefore, the test does not correctly reproduce the reported bug, as the failure is due to a misunderstanding of unit equivalence rather than a bug in the unit parsing itself. Last pytest failure: FAILED astropy/tests/test_8f3w0rhy.py::test_cds_unit_parsing_bug_exposure - assert False",The generated test misses an edge-case or equivalence condition required by the reported behavior.
astropy,astropy__astropy-14508,failure,Mechanical Failure,Output Format Inconsistency,generate_passing_test,"Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED astropy/tests/test_rh12ef68.py::test_fits_card_float_formatting_bug - astropy.io.fits.verify.VerifyWarning: Card is too long, comment will be tru...",The oracle appears to expect a different representation or ordering than the actual output.
astropy,astropy__astropy-14539,failure,Mechanical Failure,Not Implemented,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all(),The generated test is missing a real implementation or contains placeholder logic.
astropy,astropy__astropy-14995,failure,Misimplementation,Incorrect Assertion,validate_bug_with_llm,"Phase A generated 9 passing candidate(s), but inversion/LLM validation rejected 9 failing candidate(s). Last validation reason: The test attempts to reproduce the bug described in the issue ticket, but it does not correctly reflect the conditions under which the bug occurs. The bug is specifically about the behavior of the `multiply` method when one operand has a mask and the other does not. The test is designed to check if a TypeError is raised when multiplying a masked NDDataRef with a no-mask NDDataRef, which is indeed the scenario described in the issue ticket. However, the test fails because it does not account for the fact that the expected behavior is that the mask should be copied over, not that a TypeError sho Last pytest failure: TypeError: unsupported operand type(s) for |: 'int' and 'NoneType'",The generated test reaches an oracle but asserts the wrong expected behavior.
astropy,astropy__astropy-8872,success,Accepted,Accepted,terminating,AssertFlip accepted a final bug-revealing test for this instance.,No failure taxonomy label assigned because this run produced an accepted test.
django,django__django-10554,failure,Misimplementation,Incorrect Input/Mock,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED (errors=1),"The test setup, input, mock, or fixture does not recreate the buggy state correctly."
django,django__django-10880,failure,Mechanical Failure,Output Format Inconsistency,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 22 failing execution(s) across 10 generation attempt(s). Last pytest failure: No installed app with label 'test_app'.,The oracle appears to expect a different representation or ordering than the actual output.
django,django__django-10914,failure,Mechanical Failure,Incorrect File Reference,generate_passing_test,Phase A failed before inversion: 0 passing candidate(s); 100 failing execution(s) across 10 generation attempt(s). Last pytest failure: FAILED (errors=1),The test or harness refers to a file path that is not present in the target project.
astropy,astropy__astropy-13453,failure,Mechanical Failure,Environment Error,runner,"Command 'docker exec 0b34383a58666d8c800da2e141af18290f579694a3a12f2a8dc8d5e774d03ab4 bash -c ""pip install /assertflip && pip install hypothesis && assertflip --test-cmd 'pytest -rA' --source-dir astropy --tests-dir astropy/tests --max-attempts 10 --dataset /results/astropy__astropy-13453.json --model openai/gpt-4o-mini --phase pass_then_invert --max-generation-retries 10 --max-attempts 10 ""' returned non-zero exit status 1.",The failure occurs in the execution harness or environment before a meaningful bug oracle is evaluated.
astropy,astropy__astropy-14598,failure,Mechanical Failure,Environment Error,runner,"Command 'docker exec 0a3090990a949a9d1ec3e154792c1b3beae2050de67c2450c0751d82f987fffd bash -c ""pip install /assertflip && pip install hypothesis && assertflip --test-cmd 'pytest -rA' --source-dir astropy --tests-dir astropy/tests --max-attempts 10 --dataset /results/astropy__astropy-14598.json --model openai/gpt-4o-mini --phase pass_then_invert --max-generation-retries 10 --max-attempts 10 ""' timed out after 3599.9999706707895 seconds",The failure occurs in the execution harness or environment before a meaningful bug oracle is evaluated.
