AssertFlip 运行汇总报告
数据集文件: /root/Baxxhy/BugReproduce/AssertFlip/datasets/SWT_Verified_Agentless_Test_Source_Skeleton.json
本报告统计范围: 前 80 条 / 数据集原始总数 433 条
结果目录: /root/Baxxhy/BugReproduce/AssertFlip/assertflip_swt_verified_first80_run/results

指标说明:
- 这个报告只统计你这次本地运行 AssertFlip 的结果，不再混入仓库自带的历史评测 JSON。
- “本地生成成功，AssertFlip已接受”表示 AssertFlip 生成并接受了一个 bug-revealing 测试文件。
- 这还不是最终 F2P。真正 F2P 还需要再跑 SWE-Bench evaluator：测试要在 buggy 版本失败，并且在 fixed/golden patch 版本通过。
- 论文里的覆盖率是 Delta Mean Change Coverage，也就是 golden patch 修改行上的覆盖率变化；不是 attempts 日志里的普通 coverage.py 总覆盖率。
- 当前表里的运行覆盖率来自 attempts 日志，是生成测试在 buggy checkout 上跑出来的普通 coverage.py 总覆盖率。

总条数: 80
有生成尝试日志的条数: 36
被 AssertFlip 在 buggy 侧接受的条数: 10
本地接受率: 12.50%
生成了尝试但未被接受的条数: 26
本地运行错误条数: 44
最终 F2P 成功条数: 当前未计算，需要另跑 SWE-Bench evaluator
最终 F2P 成功率: 当前未计算，需要另跑 SWE-Bench evaluator

逐条结果表:
序号	实例ID	本地运行结果	是否有生成日志	是否被AssertFlip接受	流程阶段	运行覆盖率百分比	失败原因或说明
28	django__django-11133	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.79	
29	django__django-11138	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	30.28	Traceback (most recent call last): File "./tests/runtests.py", line 503, in <module> options.exclude_tags, File "./tests/runtests.py", line 290, in django_tests extra_tests=extra_tests, File "/testbed/django/test/runner.py", line 627, in run_tests suite = self.build_suite(test_labels, extra_tests) File "/testbed/django/test/runner.py", line 488, in build_suite tests = self.test_loader.loadTestsFromName(label) File "/opt/miniconda3/envs/testbed/lib/python3.6/unittest/loader.py", line 153, in l...
30	django__django-11141	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.70	LLM 验证拒绝： The test fails because the app is not properly registered as a Django app, which leads to a ModuleNotFoundError when trying to migrate. The test does not correctly reproduce the bug described in the issue ticket, as the error is not related to the absence of __init__.py but rather to the app configuration and registration process.
31	django__django-11163	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.75	
32	django__django-11179	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.39	Creating test database for alias 'default' ('file:memorydb_default?mode=memory&cache=shared')... ERROR ====================================================================== ERROR: setUpClass (test_nmnpx4q4.DeleteModelTests) ---------------------------------------------------------------------- Traceback (most recent call last): File "/testbed/django/db/backends/utils.py", line 84, in _execute return self.cursor.execute(sql, params) File "/testbed/django/db/backends/sqlite3/base.py", line 391...
33	django__django-11206	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.75	
34	django__django-11211	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	38.44	Creating test database for alias 'default' ('file:memorydb_default?mode=memory&cache=shared')... ERROR ====================================================================== ERROR: setUpClass (test_9cshhurr.GenericForeignKeyTests) ---------------------------------------------------------------------- Traceback (most recent call last): File "/testbed/django/db/backends/utils.py", line 84, in _execute return self.cursor.execute(sql, params) File "/testbed/django/db/backends/sqlite3/base.py", li...
35	django__django-11239	本地生成成功，AssertFlip已接受	是	是	先生成通过测试再反转	32.77	
36	django__django-11265	运行错误	否	否			Command 'docker exec a1918240c41ef3e4281fb7897736cf71de12f53960d1b769b806591a216bf2a0 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
37	django__django-11276	本地生成了尝试，但AssertFlip未接受	是	否	先生成通过测试再反转	32.76	LLM 验证拒绝： The test is designed to check the output of the `escape` function for a string containing a single quote. The expected output is set to use `&#x27;`, which is the representation used by the proposed new implementation of `escape` that utilizes Python's `html.escape()`. However, the actual output from the current implementation of `escape` is `&#39;`, which is the standard representation for a single quote in HTML. The test fails because it is incorrectly asserting that the new implementation ...
38	django__django-11299	运行错误	否	否			Command 'docker exec 835da0c4a4a599893d91e5267c3fbcf5bc64458ba29f483cf97d93dee7ba94b5 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
39	django__django-11333	运行错误	否	否			Command 'docker exec da6c4cdefe6fc2655097cdae2fd03c2fb9878bd986682277ebc8e0aaa3c9ecc6 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
40	django__django-11400	运行错误	否	否			Command 'docker exec 6d2d5870b303c499c5fc8ac34091c43ff885143e89a59ace1f414f4c8f22b016 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
41	django__django-11433	运行错误	否	否			Command 'docker exec b687ba4f95833e0425acd981848a2a10fcc87200ed30830a87805d3c74a47ef2 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
42	django__django-11451	运行错误	否	否			Command 'docker exec 60c17b9f3d675112dea9a80d782d33cd5e152453ee09252214492f7fe3e64389 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
43	django__django-11477	运行错误	否	否			Command 'docker exec 528986c34d6db611e595b46d7b602556be7a691db04355d17e4cd828fde439cc bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
44	django__django-11490	运行错误	否	否			Command 'docker exec da203c005ec19e2ceace4e75ec3fc10f1b38ac9a4ed7a8747680471e55f95ee9 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
45	django__django-11532	运行错误	否	否			Command 'docker exec 9e68b61b4fabe21ad8b941dcde0a847ad6cf05b29ac5b4147c48b5587e7a2a71 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
46	django__django-11551	运行错误	否	否			Command 'docker exec bdf3428b8084ba55367e3f1a12285b6eb81085ee74e9d09fb05b62475049f6e2 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
47	django__django-11555	运行错误	否	否			Command 'docker exec f5a04a48438c488cbe53f757640fad46d0ffc8219707c4b9289e6644b4801788 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
48	django__django-11603	运行错误	否	否			Command 'docker exec da5af7de0dd93537cf61ce2193ac8182c9c4c276c7d6a6a5c8c09c7725dc2ead bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
49	django__django-11728	运行错误	否	否			Command 'docker exec 7d547b6affc14be91e6be441261e4d2398100fce62937607d28762f60baabdfd bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
50	django__django-11734	运行错误	否	否			Command 'docker exec 043c015a84f5a378dc631d6035b9180c0cd6a1733f787dfbad67c48358a2165d bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
51	django__django-11740	运行错误	否	否			Command 'docker exec e38170e1fd0fabbf69ef2f17c8649d4cecb6a67f4a1b1366751dcbb1573d84f2 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
52	django__django-11749	运行错误	否	否			Command 'docker exec 4ed7b24a17b68ccea2ca693730281e8660132cb0f6f6430c24bdac0ac1de8ee5 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
53	django__django-11790	运行错误	否	否			Command '['docker', 'pull', 'docker.1ms.run/swebench/sweb.eval.x86_64.django_1776_django-11790']' returned non-zero exit status 1.
54	django__django-11815	运行错误	否	否			Command '['docker', 'pull', 'docker.1ms.run/swebench/sweb.eval.x86_64.django_1776_django-11815']' returned non-zero exit status 1.
55	django__django-11820	运行错误	否	否			Command '['docker', 'pull', 'docker.1ms.run/swebench/sweb.eval.x86_64.django_1776_django-11820']' returned non-zero exit status 1.
56	django__django-11848	运行错误	否	否			Command '['docker', 'pull', 'docker.1ms.run/swebench/sweb.eval.x86_64.django_1776_django-11848']' returned non-zero exit status 1.
57	django__django-11880	运行错误	否	否			Command 'docker exec dd762003d271dc0f940f2a16a4779e65f8a94b414d3e0d71932d8717af7b9e9f bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
58	django__django-11885	运行错误	否	否			Command 'docker exec 8cd757f28d4188ecb0a8aa173665cfaba795ad7add145e8e388bc1c909fe3980 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
59	django__django-11951	运行错误	否	否			Command 'docker exec 925292b14b3799e0946b098b55f914bcab95095893c0ea4996b7a5f9e7a1af29 bash -c "sed -i '/en_US.UTF-8/s/^# //g' /etc/locale.gen && locale-gen && export LANG=en_US.UTF-8 && export LANGUAGE=en_US:en && export LC_ALL=en_US.UTF-8 && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn /assertflip && pip install -i https://pypi.tuna.tsinghua.edu.cn/simple --trusted-host pypi.tuna.tsinghua.edu.cn hypothesis && assertflip --test-cmd './tests/...
